id_bien,date_mandat,type,ville,surface_m2,nb_pieces,etat,dpe,prix,agent,source,statut,date_vente,delai_vente_jours,nb_vues,nb_contacts,commission
218,2025-05-15,Appartement,Woippy,85,4,Neuf,E,158000,Camille D.,SeLoger,Vendu,2025-06-01,17,59,4,5616
219,2024-03-30,Terrain,Nancy,368,0,—,—,99000,Sofia R.,LeBonCoin,Vendu,2024-06-03,65,89,11,3053
220,2024-03-11,Appartement,Montigny,63,3,Rénové,G,173000,Sofia R.,Référence,Vendu,2024-05-05,55,101,6,7080
221,2024-07-27,Appartement,Woippy,77,3,Travaux,B,136000,Sofia R.,LeBonCoin,Compromis,,,68,10,5628
222,2025-01-14,Maison,Montigny,161,6,Rénové,D,521000,Marc L.,Vitrine,En cours,,,83,6,22259
223,2025-06-21,Maison,Woippy,184,7,Neuf,B,449000,Sofia R.,SeLoger,En cours,,,60,8,17750
224,2024-11-16,Terrain,Montigny,739,0,—,—,230000,Yanis B.,Référence,Vendu,2025-02-18,94,70,10,6814
225,2024-01-09,Appartement,Thionville,108,4,Travaux,C,183000,Sofia R.,Site agence,Vendu,2024-02-07,29,80,9,7425
226,2024-03-26,Terrain,Metz,1134,0,—,—,376000,Camille D.,Référence,Compromis,,,71,13,13412
227,2024-05-15,Appartement,Thionville,74,3,Travaux,E,119000,Marc L.,Référence,Vendu,2024-06-09,25,89,7,3992
228,2024-04-11,Maison,Woippy,162,6,Bon,E,326000,Camille D.,Site agence,En cours,,,88,11,10498
229,2025-04-16,Maison,Thionville,185,7,Bon,C,500000,Élodie P.,SeLoger,Vendu,2025-07-09,84,91,7,20324
230,2025-03-02,Appartement,Woippy,46,2,À rafraîchir,C,88000,Élodie P.,Vitrine,Vendu,2025-04-22,51,48,7,2993
231,2024-11-16,Appartement,Thionville,82,3,Rénové,E,204000,Yanis B.,Site agence,Vendu,2025-01-10,55,54,3,8580
232,2025-02-14,Appartement,Nancy,55,2,Bon,C,148000,Sofia R.,Référence,En cours,,,86,5,5923
233,2024-09-13,Terrain,Nancy,813,0,—,—,227000,Camille D.,Site agence,Vendu,2024-11-21,69,77,6,10170
234,2024-02-07,Maison,Thionville,197,8,Rénové,C,556000,Sofia R.,Site agence,Vendu,2024-04-13,66,96,4,22858
235,2025-02-16,Terrain,Woippy,890,0,—,—,191000,Marc L.,Vitrine,Vendu,2025-05-07,80,68,12,8824
236,2025-02-25,Studio,Montigny,17,1,Bon,D,54000,Élodie P.,SeLoger,Vendu,2025-04-19,53,89,8,2297
237,2024-07-22,Maison,Metz,212,8,Bon,D,559000,Camille D.,Vitrine,Vendu,2024-09-08,48,89,4,23476
238,2025-05-03,Studio,Montigny,29,1,Bon,D,89000,Marc L.,Site agence,Compromis,,,63,5,4133
239,2024-06-21,Appartement,Nancy,100,4,Rénové,D,286000,Élodie P.,LeBonCoin,Vendu,2024-08-15,55,36,7,12299
240,2024-05-20,Appartement,Nancy,56,2,Rénové,G,115000,Camille D.,Site agence,En cours,,,65,10,4209
241,2024-04-12,Studio,Montigny,22,1,Travaux,C,51000,Sofia R.,Site agence,En cours,,,59,8,2144
242,2024-05-27,Studio,Metz,19,1,Rénové,B,67000,Marc L.,SeLoger,Vendu,2024-07-12,46,91,7,2229
243,2025-05-23,Appartement,Nancy,82,3,Bon,F,174000,Sofia R.,LeBonCoin,Vendu,2025-06-21,29,92,15,8158
244,2024-06-14,Maison,Metz,130,5,Rénové,G,332000,Camille D.,Vitrine,Vendu,2024-07-29,45,78,12,13307
245,2024-11-19,Maison,Nancy,70,3,Bon,B,199000,Sofia R.,Référence,Vendu,2024-12-29,40,77,4,6988
246,2024-03-20,Studio,Thionville,34,1,À rafraîchir,D,69000,Marc L.,Vitrine,Vendu,2024-04-20,31,63,3,2240
247,2025-06-13,Maison,Thionville,184,7,Bon,A,490000,Yanis B.,Vitrine,Retiré,,,84,4,18218
248,2024-04-05,Appartement,Thionville,99,4,Neuf,B,289000,Marc L.,LeBonCoin,Retiré,,,76,5,11559
249,2025-01-12,Appartement,Thionville,49,2,Bon,D,114000,Sofia R.,Site agence,Compromis,,,77,5,4472
250,2024-12-16,Appartement,Nancy,99,4,Travaux,D,196000,Camille D.,Site agence,Vendu,2025-01-22,37,63,4,8244
251,2024-03-22,Maison,Woippy,165,6,À rafraîchir,C,310000,Camille D.,Site agence,Vendu,2024-05-11,50,66,6,12506
252,2025-03-11,Studio,Nancy,29,1,Bon,C,79000,Marc L.,LeBonCoin,Vendu,2025-04-10,30,60,4,2840
253,2025-05-28,Maison,Montigny,91,4,Rénové,C,282000,Camille D.,LeBonCoin,Vendu,2025-07-12,45,61,11,9399
254,2025-03-08,Appartement,Woippy,54,2,À rafraîchir,D,83000,Marc L.,Vitrine,Vendu,2025-03-30,22,82,10,3197
255,2024-11-01,Appartement,Metz,99,4,Neuf,B,302000,Sofia R.,LeBonCoin,Vendu,2024-11-25,24,70,7,9456
256,2024-03-18,Maison,Woippy,223,8,Travaux,D,356000,Sofia R.,SeLoger,Vendu,2024-05-11,54,66,11,14829
257,2024-12-24,Studio,Metz,22,1,Neuf,C,82000,Camille D.,LeBonCoin,Vendu,2025-02-07,45,68,9,3265
258,2025-01-23,Appartement,Metz,68,3,Bon,D,201000,Camille D.,LeBonCoin,Vendu,2025-03-23,59,69,8,5954
259,2024-05-19,Appartement,Metz,69,3,Travaux,E,152000,Camille D.,Vitrine,Vendu,2024-06-28,40,62,8,4970
260,2024-11-28,Maison,Woippy,157,6,Rénové,B,343000,Marc L.,LeBonCoin,En cours,,,93,5,13047
261,2025-03-07,Appartement,Woippy,98,4,Bon,F,172000,Camille D.,Vitrine,Retiré,,,88,11,5397
262,2024-05-12,Studio,Montigny,21,1,Bon,C,60000,Yanis B.,Vitrine,Vendu,2024-06-12,31,57,7,2607
263,2024-09-29,Appartement,Nancy,44,2,Bon,E,115000,Sofia R.,LeBonCoin,En cours,,,62,6,4081
264,2024-09-25,Appartement,Woippy,30,1,Bon,D,67000,Camille D.,Référence,Retiré,,,76,11,2829
265,2024-06-20,Terrain,Nancy,369,0,—,—,108000,Camille D.,Vitrine,Vendu,2024-08-28,69,70,4,3782
266,2024-03-31,Appartement,Montigny,104,4,Bon,D,274000,Camille D.,Vitrine,Vendu,2024-05-14,44,102,19,11208
267,2024-04-21,Appartement,Montigny,86,4,Bon,D,219000,Marc L.,Vitrine,Vendu,2024-05-27,36,71,5,9056
268,2025-05-13,Appartement,Thionville,49,2,Neuf,B,128000,Sofia R.,Vitrine,Vendu,2025-06-18,36,84,14,4881
269,2024-10-06,Appartement,Metz,99,4,Rénové,D,252000,Sofia R.,LeBonCoin,Compromis,,,73,5,9040
270,2024-11-30,Appartement,Montigny,82,3,À rafraîchir,B,228000,Marc L.,LeBonCoin,Vendu,2025-02-03,65,42,6,8670
271,2025-04-17,Appartement,Nancy,87,4,Travaux,F,147000,Camille D.,SeLoger,Vendu,2025-05-15,28,34,2,6180
272,2024-01-07,Appartement,Woippy,67,3,Bon,C,125000,Camille D.,Site agence,Vendu,2024-02-06,30,56,10,4483
273,2025-03-18,Appartement,Thionville,51,2,Bon,D,113000,Camille D.,Vitrine,Vendu,2025-04-23,36,81,13,3745
274,2024-09-01,Maison,Metz,197,8,À rafraîchir,A,575000,Marc L.,Référence,En cours,,,69,11,17712
275,2024-08-25,Maison,Montigny,225,8,Bon,D,644000,Camille D.,Vitrine,Vendu,2024-10-19,55,65,11,22555
276,2025-01-15,Appartement,Nancy,52,2,À rafraîchir,D,123000,Élodie P.,LeBonCoin,Vendu,2025-03-13,57,76,9,3791
277,2024-03-13,Appartement,Woippy,74,3,À rafraîchir,E,125000,Marc L.,LeBonCoin,Vendu,2024-04-23,41,85,9,5239
278,2024-11-02,Maison,Thionville,185,7,Bon,F,399000,Marc L.,Vitrine,Vendu,2024-12-31,59,98,15,12201
279,2024-11-25,Studio,Montigny,33,1,Rénové,D,102000,Yanis B.,SeLoger,Vendu,2024-12-29,34,100,6,3793
280,2024-03-26,Studio,Woippy,24,1,À rafraîchir,D,44000,Marc L.,Site agence,Vendu,2024-04-23,28,50,3,1970
